label,scenario,adult_instructions,child_instructions
heatstroke,Heatstroke,"Move to shade or cool area. Cool with water or wet cloths. Fan the person. Offer cool fluids if conscious. Call emergency services if temperature exceeds 104°F.","Move to shade. Cool with lukewarm water or cloths. Offer small sips of water if conscious. Call emergency services immediately for high fever or confusion."
snake_bite,Snake Bite,"Keep person calm and still. Immobilize the bitten area below heart level. Do not apply ice, tourniquets, or suck venom. Call emergency services immediately.","Keep child calm and still. Immobilize the bitten area gently. Do not apply ice or tourniquets. Call emergency services immediately."
dog_bite,Dog Bite,"Wash wound with soap and water for 5 minutes. Apply a clean bandage. Seek medical advice for antibiotics or tetanus shot, especially if deep or infected.","Wash wound gently with soap and water. Apply a clean bandage. Seek medical advice immediately for antibiotics or tetanus shot."
insect_sting,Insect Sting,"Remove stinger by scraping with a card. Wash with soap and water. Apply ice for 10 minutes. Take antihistamine (e.g., loratadine 10mg daily) for itching. Seek help if swelling spreads.","Remove stinger gently. Wash with soap and water. Apply ice for 5–10 minutes. Consult a pediatrician for antihistamines. Seek help for swelling or breathing issues."
sprain,Sprain,"Use RICE: Rest, Ice (15 minutes every hour), Compress with a bandage, Elevate. Take ibuprofen 200–400mg every 6 hours as needed for pain. Consult a doctor if swelling persists.","Use RICE: Rest, Ice (10 minutes), Compress gently, Elevate. Do not give ibuprofen without doctor’s advice. Consult a pediatrician if unable to bear weight."
eye_injury,Eye Injury,"Do not rub eye. Flush with clean water or saline for 15 minutes. Cover with a clean cloth. Seek medical help immediately for pain or vision changes.","Do not rub eye. Flush gently with saline or water for 10 minutes. Cover with a clean cloth. Seek medical help immediately."
head_injury,Head Injury,"Keep person awake and resting. Apply ice wrapped in cloth for 15 minutes. Monitor for vomiting, confusion, or drowsiness. Seek urgent care if symptoms worsen.","Keep child awake and calm. Apply ice wrapped in cloth for 10 minutes. Monitor for vomiting or behavior changes. Seek urgent care immediately."
cut,Cuts,"Wash with soap and water for 5 minutes. Apply antiseptic (e.g., povidone-iodine). Bandage with a sterile dressing. Seek medical help if deep or gaping.","Wash gently with soap and water. Apply antiseptic. Bandage with a sterile dressing. Seek medical help for deep cuts or if bleeding persists."
panic_attack,Panic Attack,"Encourage slow, deep breathing (inhale 4 seconds, exhale 4 seconds). Stay calm and reassure. Move to a quiet area. Seek help if symptoms persist over 30 minutes.","Encourage slow breathing with a calm voice. Stay with child and reassure. Seek medical help if panic does not subside or worsens."
tooth_out,Tooth Knocked Out,"Rinse tooth gently with water (do not scrub). Try reinserting in socket or store in milk. Visit a dentist within 1 hour.","Rinse tooth gently with water. Do not reinsert. Store in milk or saline. Visit a dentist immediately."
concussion,Concussion,"Rest in a quiet, dark room. Avoid screens and physical activity. Monitor for confusion, vomiting, or worsening headache. Seek medical attention if symptoms persist.","Rest in a quiet room. Avoid screens and activity. Monitor for vomiting, confusion, or irritability. Seek medical attention immediately."
dehydration,Dehydration,"Give small sips of water or oral rehydration salts (e.g., Pedialyte) every 5 minutes. Avoid sugary drinks. Seek medical help if unable to keep fluids down or lethargic.","Give small sips of oral rehydration salts (e.g., Pedialyte) every 5 minutes. Avoid juices. Seek medical help immediately if lethargic or no urine output."
frostbite,Frostbite,"Move to a warm area. Soak affected area in warm (not hot) water for 15–30 minutes. Do not rub or use direct heat. Seek medical help for severe pain or blisters.","Move to a warm area. Soak gently in warm water for 10–20 minutes. Do not rub. Seek medical help immediately for blisters or numbness."
allergic_conjunctivitis,Allergic Conjunctivitis,"Rinse eyes with saline. Apply cold compress for 10 minutes. Take antihistamine (e.g., loratadine 10mg daily). Consult a doctor if symptoms persist.","Rinse eyes with saline. Apply cold compress gently. Consult a pediatrician for antihistamines. Seek help if vision is affected."
dislocation,Dislocation,"Do not attempt to reposition. Immobilize with a sling or padding. Apply ice for 15 minutes. Seek emergency care immediately.","Do not attempt to reposition. Immobilize gently. Apply ice for 10 minutes. Seek emergency care immediately."
chemical_burn,Chemical Burn,"Rinse with running water for at least 15 minutes. Remove contaminated clothing. Call emergency services. Do not apply neutralizers unless instructed.","Rinse with running water for 15 minutes. Remove contaminated clothing carefully. Call emergency services immediately."
heat_exhaustion,Heat Exhaustion,"Move to a cool area. Sip water or electrolyte drink (e.g., Gatorade) every 5 minutes. Apply cool, wet cloths. Seek medical help if nausea or confusion occurs.","Move to a cool area. Offer small sips of water or electrolyte drink. Apply cool cloths. Seek medical help immediately for confusion or vomiting."
anaphylaxis,Anaphylaxis,"Administer epinephrine (EpiPen) immediately if prescribed. Call emergency services. Keep person lying down unless breathing is difficult. Monitor closely.","Administer epinephrine (EpiPen) immediately if prescribed. Call emergency services. Keep child lying down unless breathing is difficult. Monitor closely."
stomach_pain,Stomach Pain,"Rest, avoid solid foods, drink clear fluids. Take antacids (e.g., Tums) 500mg as needed, up to 4 times daily (morning, noon, evening, bedtime). Seek medical help if pain is severe, persistent, or with fever.","Rest, drink clear fluids. Do not give medication without doctor’s advice. Consult a pediatrician immediately for severe pain or fever."
fever,Fever,"Rest, stay hydrated. Take paracetamol 500mg every 4–6 hours (morning, noon, evening), up to 4 doses daily (max 3000mg/day). Seek medical help if fever exceeds 103°F or lasts over 48 hours.","Consult a pediatrician for appropriate medication and dosage based on weight and age. Keep hydrated, use cool compresses. Seek help if fever exceeds 102°F or persists."
cough,Cough,"Stay hydrated, rest. Take dextromethorphan 10–20mg every 4 hours (morning, noon, evening) as needed, per package instructions. Seek medical help if cough persists over a week or with fever.","Consult a pediatrician before giving medication. Offer warm fluids, use a humidifier. Seek help if cough is severe, persistent, or with fever."
common_cold,Common Cold,"Rest, drink fluids. Take antihistamines (e.g., loratadine 10mg daily, morning) or decongestants per package instructions. Seek medical help if symptoms worsen or fever develops.","Consult a pediatrician for medication. Ensure rest, hydration, use saline nasal drops. Seek help if high fever or breathing difficulties occur."
diabetic_emergency,Diabetic Emergency,"For low blood sugar (hypoglycemia): Give 15g fast-acting sugar (e.g., glucose tablets, 4 oz juice). Recheck in 15 minutes. For high blood sugar (hyperglycemia): Drink water, seek medical help if vomiting or confused.","For low blood sugar: Give 10–15g fast-acting sugar (e.g., juice). Recheck in 15 minutes. For high blood sugar: Consult a pediatrician immediately. Seek emergency care for confusion."
chest_pain,Chest Pain,"Rest and sit upright. Take ibuprofen 200–400mg every 6 hours as needed for musculoskeletal pain. Call emergency services if pain is severe, radiates, or with shortness of breath.","Rest and keep child calm. Do not give medication without doctor’s advice. Seek emergency care immediately for severe pain or breathing issues."
severe_allergic_rash,Severe Allergic Rash,"Wash skin with soap and water. Take antihistamine (e.g., loratadine 10mg daily). Apply hydrocortisone 1% cream twice daily. Seek medical help if rash spreads or breathing issues occur.","Wash skin gently. Consult a pediatrician for antihistamines or creams. Seek medical help immediately if rash worsens or breathing is affected."
foreign_object_ear_nose,Foreign Object in Ear or Nose,"Do not attempt to remove. Keep person calm. Seek medical help immediately to avoid pushing object deeper.","Do not attempt to remove. Keep child calm and prevent touching. Seek medical help immediately."
mild_traumatic_brain_injury,Mild Traumatic Brain Injury,"Rest in a quiet, dark room. Take paracetamol 500mg every 4–6 hours as needed for headache (max 3000mg/day). Monitor for worsening symptoms. Seek medical help if confusion or vomiting occurs.","Rest in a quiet room. Consult a pediatrician for pain relief. Monitor for vomiting, confusion, or irritability. Seek medical help immediately."
severe_diarrhea,Severe Diarrhea,"Drink oral rehydration salts (e.g., Pedialyte) every 5–10 minutes. Avoid solid foods for 12 hours. Take loperamide 2mg after each loose stool (max 16mg/day) if no fever. Seek medical help if blood in stool or dehydration.","Give oral rehydration salts in small sips every 5 minutes. Avoid solid foods. Consult a pediatrician before giving medication. Seek medical help for blood in stool or lethargy."
sunburn,Sunburn,"Cool skin with cold water for 10 minutes. Apply aloe vera gel or hydrocortisone 1% cream twice daily. Take ibuprofen 200–400mg every 6 hours for pain. Seek medical help for blisters or fever.","Cool skin with lukewarm water for 5–10 minutes. Apply aloe vera gel. Consult a pediatrician for creams or pain relief. Seek medical help for blisters or high fever."
facial_swelling,Facial Swelling,"Apply cold compress for 10 minutes. Take antihistamine (e.g., loratadine 10mg daily) for possible allergic reaction. Seek emergency care if swelling affects breathing or throat.","Apply cold compress gently. Consult a pediatrician for antihistamines. Seek emergency care immediately if swelling affects breathing or throat."
joint_pain,Joint Pain,"Rest the joint. Apply ice for 15 minutes every hour. Take ibuprofen 200–400mg every 6 hours as needed (max 3200mg/day). Seek medical help if swelling or inability to move persists.","Rest the joint. Apply ice for 10 minutes. Consult a pediatrician for pain relief. Seek medical help if swelling or movement is restricted."
earache,Earache,"Apply warm compress for 10 minutes. Take paracetamol 500mg every 4–6 hours as needed (max 3000mg/day). Seek medical help if pain persists over 24 hours or with fever.","Apply warm compress gently. Consult a pediatrician for pain relief or drops. Seek medical help immediately if fever or discharge occurs."
